"R5","1k5","Resistors_SMD:R_0805",""
"RV1","5k","Potentiometers:Potentiometer_Trimmer_Bourns_3266W",""
"R8","47k","Resistors_SMD:R_0805",""
"R9","10k","Resistors_SMD:R_0805",""
"RV2","5k","Potentiometers:Potentiometer_Trimmer_Bourns_3266W",""
"R3","2k7","Resistors_SMD:R_0805",""
"R4","2k7","Resistors_SMD:R_0805",""
"R1","15k","Resistors_SMD:R_0805",""
"R2","15k","Resistors_SMD:R_0805",""
"C5","100nF","Capacitors_SMD:C_0805",""
"R12","1k3","Resistors_SMD:R_0805",""
"C10","1nF","Capacitors_SMD:C_0805",""
"R16","10k","Resistors_SMD:R_0805",""
"R17","47k","Resistors_SMD:R_0805",""
"R21","47k","Resistors_SMD:R_0805",""
"R20","10k","Resistors_SMD:R_0805",""
"R22","47k","Resistors_SMD:R_0805",""
"R19","10k","Resistors_SMD:R_0805",""
"RV3","10k","Potentiometers:Potentiometer_Trimmer_Bourns_3266W",""
"R24","100","Resistors_SMD:R_0805",""
"C15","330nF","Capacitors_SMD:C_0805",""
"R27","20k","Resistors_SMD:R_0805",""
"RV4","10k","Potentiometers:Potentiometer_Trimmer_Bourns_3266W",""
"R23","10k","Resistors_SMD:R_0805",""
"R25","150k","Resistors_SMD:R_0805",""
"R26","10k","Resistors_SMD:R_0805",""
"R28","10k","Resistors_SMD:R_0805",""
"R29","20k","Resistors_SMD:R_0805",""
"C16","1nF","Capacitors_SMD:C_0805",""
"R10","100k","Resistors_SMD:R_0805",""
"C6","1nF","Capacitors_SMD:C_0805",""
"R11","100k","Resistors_SMD:R_0805",""
"C7","1nF","Capacitors_SMD:C_0805",""
"R13","10k","Resistors_SMD:R_0805",""
"R15","10k","Resistors_SMD:R_0805",""
"R18","10k","Resistors_SMD:R_0805",""
"R14","10k","Resistors_SMD:R_0805",""
"R6","100k","Resistors_SMD:R_0805",""
"R7","100k","Resistors_SMD:R_0805",""
"J3","Feedback","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"U6","LM675","TO_SOT_Packages_SMD:TO-263-5_TabPin3",""
"C20","100nF","Capacitors_SMD:C_0805",""
"C19","100nF","Capacitors_SMD:C_0805",""
"R32","1","Resistors_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P7.62mm_Vertical",""
"C21","200nF","Capacitors_SMD:C_0805",""
"R33","0.1","Resistors_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P7.62mm_Vertical",""
"R34","1k","Resistors_SMD:R_0805",""
"R30","1k","Resistors_SMD:R_0805",""
"R31","150","Resistors_SMD:R_0805",""
"C17","2nF","Capacitors_SMD:C_0805",""
"C18","100pF","Capacitors_SMD:C_0805",""
"U5","LM7912","TO_SOT_Packages_SMD:TO-252-2",""
"U4","LM7812","TO_SOT_Packages_SMD:TO-252-2",""
"C1","470uF","Capacitors_SMD:CP_Elec_6.3x5.7",""
"C2","470uF","Capacitors_SMD:CP_Elec_6.3x5.7",""
"L1","L","Inductors_SMD:L_0805",""
"L2","L","Inductors_SMD:L_0805",""
"L3","L","Inductors_SMD:L_0805",""
"L4","L","Inductors_SMD:L_0805",""
"C11","100nF","Capacitors_SMD:C_0805",""
"C12","100nF","Capacitors_SMD:C_0805",""
"C13","100nF","Capacitors_SMD:C_0805",""
"C14","100nF","Capacitors_SMD:C_0805",""
"C8","100nF","Capacitors_SMD:C_0805",""
"C9","100nF","Capacitors_SMD:C_0805",""
"J1","Power +-15V","Connectors:bornier3",""
"J4","Galvo","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"U1","TL074","Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm",""
"U2","TL074","Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm",""
"U3","TL074","Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm",""
"R35","1k2","Resistors_SMD:R_0805",""
"D1","LED","LEDs:LED_0603_HandSoldering",""
"R36","1k2","Resistors_SMD:R_0805",""
"D2","LED","LEDs:LED_0603_HandSoldering",""
"J2","Input","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
